observation_id,timestamp,direction,mean_index,std_dev,mask_pixel_count
116-400062-182047116-202602271803,2026-02-27T18:03:00,North,0.6279662803121154,0.04074573858856267,4163552
116-400062-182047116-202602271803,2026-02-27T18:03:00,South,0.5401604798721448,0.02033223123451299,3012828
116-400062-182047116-202602271803,2026-02-27T18:03:00,East,0.6339399253101248,0.11053399310289025,3429390
116-400062-182047116-202602271803,2026-02-27T18:03:00,West,0.5453474833915739,0.030257017935292816,4379868
116-400061-181995590-202602272312,2026-02-27T23:12:00,Up,0.6985956142062375,0.020038754595962095,2049974
116-400061-181995590-202602272312,2026-02-27T23:12:00,North,0.6314020358874156,0.02324871350377837,25919
116-400061-181995590-202602272312,2026-02-27T23:12:00,South,0.6339505694526655,0.021148948023120673,1282810
116-400061-181995590-202602272312,2026-02-27T23:12:00,East,0.6615282940022612,0.028074660399856524,1502686
116-400061-181995590-202602272312,2026-02-27T23:12:00,West,0.7195904613375835,0.08344586453418776,1953057
116-129002-182041988-202602262239,2026-02-26T22:39:00,Up,0.6595328739472016,0.04687561732097337,866021
116-129002-182041988-202602262239,2026-02-26T22:39:00,North,0.5973372030214193,0.07922568812642894,492100
116-129002-182041988-202602262239,2026-02-26T22:39:00,South,0.5919641409124551,0.039977596276646335,574379
116-129002-182041988-202602262239,2026-02-26T22:39:00,East,0.677432267237466,0.09611016497592664,630158
116-129002-182041988-202602262239,2026-02-26T22:39:00,West,0.60709329986687,0.0499875480223575,640089
116-411527-182041988-202602261432,2026-02-26T14:32:00,Up,0.7045757549646728,0.22272961350856302,863674
116-411527-182041988-202602261432,2026-02-26T14:32:00,North,0.6682438393400422,0.07256338886725353,577957
116-411527-182041988-202602261432,2026-02-26T14:32:00,South,0.617135117366507,0.10544542512630321,689977
116-411527-182041988-202602261432,2026-02-26T14:32:00,East,0.5751408348851861,0.05313981253470358,712947
116-411527-182041988-202602261432,2026-02-26T14:32:00,West,0.7721360011914344,0.07871840756851092,460530
116-400102-182041988-202602262051,2026-02-26T20:51:00,Up,0.6274561488330396,0.16853089146339786,865758
116-400102-182041988-202602262051,2026-02-26T20:51:00,North,0.602401475588905,0.09966587936196747,432803
116-400102-182041988-202602262051,2026-02-26T20:51:00,South,0.5822692621816219,0.029511270416290328,649205
116-400102-182041988-202602262051,2026-02-26T20:51:00,East,0.7560877185357804,0.10565400635406293,643171
116-400102-182041988-202602262051,2026-02-26T20:51:00,West,0.5266542524297064,0.02089790664006829,610761
116-400102-181995590-202602262240,2026-02-26T22:40:00,Up,0.5330768328305654,0.007400395711568935,2049923
116-400102-181995590-202602262240,2026-02-26T22:40:00,North,0.5399865947649691,0.024668576901999903,1437640
116-400102-181995590-202602262240,2026-02-26T22:40:00,South,0.5209264435552152,0.005674076582843513,2119
116-400102-181995590-202602262240,2026-02-26T22:40:00,East,0.5833059352458341,0.039342519686525246,195
116-400102-181995590-202602262240,2026-02-26T22:40:00,West,0.5107462384045761,0.0018001462250232239,6096
116-399974-182115366-202602262231,2026-02-26T22:31:00,Up,0.5308420050657656,0.022130389142704234,2051645
116-399974-182115366-202602262231,2026-02-26T22:31:00,North,0.5815537403416132,0.07505067923259834,5630607
116-399974-182115366-202602262231,2026-02-26T22:31:00,South,0.48921115758096323,0.0013828064781103034,59813
116-399974-182115366-202602262231,2026-02-26T22:31:00,East,0.5332972433197872,0.0017236639133458955,36011
116-399974-182115366-202602262231,2026-02-26T22:31:00,West,298.4499524181218,896803.3121785565,9064275
